model,trial,truth_sine_covariance,rb_normalized_estimate,ramsey_estimate
rtn,38,0.38330514232627905,0.24483940545029528,0.3694924181840551
rtn,39,0.38330514232627905,0.29469311331200787,0.37925515963336615
rtn,40,0.38330514232627905,0.5630190391240157,0.39506182332677164
rtn,41,0.38330514232627905,0.445253387210876,0.4354363388902559
rtn,42,0.38330514232627905,0.2451227143054872,0.3870272899237205
rtn,43,0.38330514232627905,0.4458243302472933,0.3499890425073819
rtn,44,0.38330514232627905,0.41313567874938484,0.3952011949434055
rtn,45,0.38330514232627905,0.3605570154865896,0.39307409571850394
rtn,46,0.38330514232627905,0.3641556867464321,0.3593865342027559
rtn,47,0.38330514232627905,0.33317770169475885,0.3270657757135827
rtn,48,0.38330514232627905,0.5362106683686023,0.4021947665477362
rtn,49,0.38330514232627905,0.46407936877153055,0.4106310746801181
rtn,50,0.38330514232627905,0.4609175554410679,0.3710774098794291
rtn,51,0.38330514232627905,0.2748290535033218,0.3823770838459646
rtn,52,0.38330514232627905,0.4722066563884104,0.41776690145177164
rtn,53,0.38330514232627905,0.36060243140994097,0.36905219611220474
rtn,54,0.38330514232627905,0.3760005920890748,0.3753825510580709
rtn,55,0.38330514232627905,0.4811016893762303,0.38036052073080706
rtn,56,0.38330514232627905,0.28247406726747043,0.37743275559793305
rtn,57,0.38330514232627905,0.3701246366726132,0.359135665292815
rtn,58,0.38330514232627905,0.5518813245878444,0.4072390578863189
rtn,59,0.38330514232627905,0.35072338674950787,0.37529604453740156
rtn,60,0.38330514232627905,0.3210970660832923,0.39364119402066927
rtn,61,0.38330514232627905,0.39241304172305613,0.38703786294291337
rtn,62,0.38330514232627905,0.2988757035863681,0.37848621278297245
rtn,63,0.38330514232627905,0.395475372554749,0.3820156788262795
rtn,64,0.38330514232627905,0.47325987327755903,0.3876347579355315
rtn,65,0.38330514232627905,0.4052916999876969,0.39668622354822836
rtn,66,0.38330514232627905,0.2404729888195128,0.37784318097933073
rtn,67,0.38330514232627905,0.3628775529035433,0.36216243233267714
rtn,68,0.38330514232627905,0.3613961287370817,0.3705112727608268
rtn,69,0.38330514232627905,0.4029841385488435,0.374636672613189
rtn,70,0.38330514232627905,0.4662312184731791,0.4305765947957677
rtn,71,0.38330514232627905,0.3686994417445866,0.3839111328125
rtn,72,0.38330514232627905,0.24825425035371557,0.3713628813976378
rtn,73,0.38330514232627905,0.25903080016609253,0.37425700510580706
rtn,74,0.38330514232627905,0.3691189983698327,0.37683682178887795
rtn,75,0.38330514232627905,0.5241170567790354,0.40978234959399606
rtn,76,0.38330514232627905,0.519718200203002,0.35606372262549213
rtn,77,0.38330514232627905,0.5025812584584154,0.3952473317544291
rtn,78,0.38330514232627905,0.3650683305394931,0.3574516716904528
rtn,79,0.38330514232627905,0.4831497312530758,0.41734974778543305
rtn,80,0.38330514232627905,0.3628926915446604,0.3638320081815945
rtn,81,0.38330514232627905,0.4343860055517963,0.3293831892839567
rtn,82,0.38330514232627905,0.36323655496432083,0.3667962982898622
rtn,83,0.38330514232627905,0.2436823807363435,0.37254129244586615
rtn,84,0.38330514232627905,0.2874763068251723,0.40526478684793305
rtn,85,0.38330514232627905,0.39844470887672245,0.33568759227362205
rtn,86,0.38330514232627905,0.363809660663755,0.41437680702509844
rtn,87,0.38330514232627905,0.3771814060962106,0.3759900190698819
rtn,88,0.38330514232627905,0.4521782341904527,0.410523422121063
rtn,89,0.38330514232627905,0.3697591466227854,0.4163635734498031
rtn,90,0.38330514232627905,0.5097137210875984,0.37450114573080706
rtn,91,0.38330514232627905,0.36509211983267714,0.3859498031496063
rtn,92,0.38330514232627905,0.4085573211429626,0.39414966012549213
